id,상품명,가격,제조사,카테고리,이미지경로,상품URL,이미지해시,생성일,수정일,OCR내용
1,日清のどん兵衛　天ぷらそば（東）,229,日清食品,インスタント麺,../crawl/images\4902105033746_日清食品_日清のどん兵衛　天ぷらそば（東）.jpg,https://sm.rakuten.co.jp/item/4902105033746,e6ffe97afdf9e93ab30ca1abea7aff8c5d9232c921a021f0d086fff1b5fce46c,2026-02-10T06:20:10.377665+00:00,2026-02-10T06:20:10.377665+00:00,
2,【推しプライス】日清　焼そばＵ．Ｆ．Ｏ,199,日清食品,インスタント麺,../crawl/images\4902105022122_日清食品_【推しプライス】日清　焼そばＵ．Ｆ．Ｏ.jpg,https://sm.rakuten.co.jp/item/4902105022122,01d4417425c660e3757ae25f75d0b6906613fefc71156c573de13eca779c8b27,2026-02-10T06:20:10.474956+00:00,2026-02-10T06:20:10.474956+00:00,
3,マルちゃん　赤いきつねうどん　東,239,東洋水産,インスタント麺,../crawl/images\4901990522731_東洋水産_マルちゃん　赤いきつねうどん　東.jpg,https://sm.rakuten.co.jp/item/4901990522731,2965640ad7901af128746f0ba0c58234956d6b048d657f24fc969957e96f1dd0,2026-02-10T06:20:10.570874+00:00,2026-02-10T06:20:10.570874+00:00,
4,マルちゃん　緑のたぬき天そば　東,239,東洋水産,インスタント麺,../crawl/images\4901990522748_東洋水産_マルちゃん　緑のたぬき天そば　東.jpg,https://sm.rakuten.co.jp/item/4901990522748,38cd09d4b764836ed1824282cd0fdc112a457a0ddc3a2be6571d626580889a86,2026-02-10T06:20:10.668157+00:00,2026-02-10T06:20:10.668157+00:00,
5,あっさりおいしいカップヌードル,155,日清食品,インスタント麺,../crawl/images\4902105252482_日清食品_あっさりおいしいカップヌードル.jpg,https://sm.rakuten.co.jp/item/4902105252482,50d0c2c633dd089111a5f51acb2318c8396793400b9200008e05b74c86de0992,2026-02-10T06:20:10.760672+00:00,2026-02-10T06:20:10.760672+00:00,
6,あっさりおいしいカップヌードル シーフード,155,日清食品,インスタント麺,../crawl/images\4902105252505_日清食品_あっさりおいしいカップヌードル_シーフー.jpg,https://sm.rakuten.co.jp/item/4902105252505,00537d04fd4069050132b3f0a01b465f8701327140a53d29b8f9952109ae0d37,2026-02-10T06:20:10.848711+00:00,2026-02-10T06:20:10.848711+00:00,
7,一蘭 焼ラーメン とんこつ,582,一蘭,インスタント麺,../crawl/images\4562214822008_一蘭_一蘭_焼ラーメン_とんこつ.jpg,https://sm.rakuten.co.jp/item/4562214822008,ea474587743efb921be0a8e845472b6308a45772e0f6952708a8bc6dbb5f8839,2026-02-10T06:20:10.939032+00:00,2026-02-10T06:20:10.939032+00:00,
8,桝元 辛麺,556,桝元,インスタント麺,../crawl/images\4582335820028_桝元_桝元_辛麺.jpg,https://sm.rakuten.co.jp/item/4582335820028,a094ca9725670f9a3232f2b19fbf5cfc7a953bae84f0ab51be541b474deedacc,2026-02-10T06:20:11.041525+00:00,2026-02-10T06:20:11.041525+00:00,
9,桝元 辛麺（激辛）,602,桝元,インスタント麺,../crawl/images\4582335820035_桝元_桝元_辛麺（激辛）.jpg,https://sm.rakuten.co.jp/item/4582335820035,c124036a29c299b73f9c7e5679ca03983935c1af2b9608e0bc0340610409f56a,2026-02-10T06:20:11.138628+00:00,2026-02-10T06:20:11.138628+00:00,
10,桝元 トマト辛麺,602,桝元,インスタント麺,../crawl/images\4582335820059_桝元_桝元_トマト辛麺.jpg,https://sm.rakuten.co.jp/item/4582335820059,4468c084cefb86a224f203f0d134fbe6f9138030d830d3f0fe3b5d5607015360,2026-02-10T06:20:11.247756+00:00,2026-02-10T06:20:11.247756+00:00,
11,YumYum トムヤムクンクリーミーヌードル,522,アジノモト,インスタント麺,../crawl/images\4901001588251_アジノモト_YumYum_トムヤムクンクリーミーヌー.jpg,https://sm.rakuten.co.jp/item/4901001588251,c27b63b4e2d304d8ab4f98f9eb846f303addd5ab12b29f1f397ac7eab5d18186,2026-02-10T06:20:11.343965+00:00,2026-02-10T06:20:11.343965+00:00,
12,YumYum トムヤムクンヌードル,522,アジノモト,インスタント麺,../crawl/images\4901001639113_アジノモト_YumYum_トムヤムクンヌードル.jpg,https://sm.rakuten.co.jp/item/4901001639113,8db92d765a79f4654622745547af1b373da0cecb15e51c18f3279c60881ae72b,2026-02-10T06:20:11.438991+00:00,2026-02-10T06:20:11.438991+00:00,
13,ワンタンメンどんぶり タンメン味,236,エースコック,インスタント麺,../crawl/images\4901071216658_エースコック_ワンタンメンどんぶり_タンメン味.jpg,https://sm.rakuten.co.jp/item/4901071216658,3ad5bcc71d8cc94469efb5cc75027a0765a47b02757792e80cbd402a21eef326,2026-02-10T06:20:11.530479+00:00,2026-02-10T06:20:11.530479+00:00,
14,飲み干す一杯 味噌バター味ラーメン,239,エースコック,インスタント麺,../crawl/images\4901071239824_エースコック_飲み干す一杯_味噌バター味ラーメン.jpg,https://sm.rakuten.co.jp/item/4901071239824,c2283544f7b984642e3d7add129fd4dfada736e18545a7b86988ea899f174f62,2026-02-10T06:20:11.626711+00:00,2026-02-10T06:20:11.626711+00:00,
15,だしの旨みで減塩　鶏炊きうどん,146,エースコック,インスタント麺,../crawl/images\4901071245399_エースコック_だしの旨みで減塩　鶏炊きうどん.jpg,https://sm.rakuten.co.jp/item/4901071245399,7161983a329347e200df945243947aaee41730c2e23dde9d0a56e0d8ed2afd75,2026-02-10T06:20:11.714653+00:00,2026-02-10T06:20:11.714653+00:00,
16,わかめラーメン　ごま・しょうゆ　具材入り,408,エースコック,インスタント麺,../crawl/images\4901071403706_エースコック_わかめラーメン　ごま・しょうゆ　具材入り.jpg,https://sm.rakuten.co.jp/item/4901071403706,d673ee30411ee95df9d1996429fd17cad0062d96fb79f9e297a520683f708f78,2026-02-10T06:20:11.810072+00:00,2026-02-10T06:20:11.810072+00:00,
17,飲み干す一杯 担担麺,239,エースコック,インスタント麺,../crawl/images\4901071405236_エースコック_飲み干す一杯_担担麺.jpg,https://sm.rakuten.co.jp/item/4901071405236,d085d9f7169c0c3377e0504d0ff8b8ee0e43b763a6f04e6aecd7d35816830e33,2026-02-10T06:20:11.898048+00:00,2026-02-10T06:20:11.898048+00:00,
18,超大盛りスーパーカップ 横浜家系豚骨醤油ラー...,299,エースコック,インスタント麺,../crawl/images\4901071408183_エースコック_超大盛りスーパーカップ_横浜家系豚骨醤油.jpg,https://sm.rakuten.co.jp/item/4901071408183,001d0d4a59fbb013bbdeed1baa1dc8cdd5e0998d6372ea535c5c4b6a592f8d8a,2026-02-10T06:20:11.997898+00:00,2026-02-10T06:20:11.997898+00:00,
19,スーパーカップ1.5倍×NOBROCKTVキーマカレー...,289,エースコック,インスタント麺,../crawl/images\4901071408626_エースコック_スーパーカップ1.5倍×NOBROCKT.jpg,https://sm.rakuten.co.jp/item/4901071408626,f919473fab77a3367b9babd7f734fe8229cbee10d190c35f3aba9b5b79c31aa8,2026-02-10T06:20:12.090469+00:00,2026-02-10T06:20:12.090469+00:00,
20,スーパーカップ1.5倍 濃厚鯛白湯ラーメン,259,エースコック,インスタント麺,../crawl/images\4901071409074_エースコック_スーパーカップ1.5倍_濃厚鯛白湯ラーメ.jpg,https://sm.rakuten.co.jp/item/4901071409074,a1419a1c10cf6034fa206ec4052be41454749130c9da7addb1f726bf7e939e58,2026-02-10T06:20:12.187880+00:00,2026-02-10T06:20:12.187880+00:00,
21,スーパーカップ1.5倍 紅のTHE濃厚 明太クリー...,249,エースコック,インスタント麺,../crawl/images\4901071409128_エースコック_スーパーカップ1.5倍_紅のTHE濃厚_.jpg,https://sm.rakuten.co.jp/item/4901071409128,24933a038795a3d1441befe9710546f621ce4ca198db0eb1b4461efa63f481db,2026-02-10T06:20:12.284093+00:00,2026-02-10T06:20:12.284093+00:00,
22,スーパーカップ1.5倍 白のTHE濃厚 カルボナー...,249,エースコック,インスタント麺,../crawl/images\4901071409142_エースコック_スーパーカップ1.5倍_白のTHE濃厚_.jpg,https://sm.rakuten.co.jp/item/4901071409142,5a53486d5fa1c08f61dca35cfcb313832a1c556693008a5124de46999cf7f929,2026-02-10T06:20:12.375551+00:00,2026-02-10T06:20:12.375551+00:00,
23,tabete だし麺 北海道産帆立貝柱だし 塩らーめ...,229,国分グループ本社,インスタント麺,../crawl/images\4901592928238_国分グループ本社_tabete_だし麺_北海道産帆立貝柱だ.jpg,https://sm.rakuten.co.jp/item/4901592928238,8f47a1848f39051f5fc525e5e40f9cff9cce6364bf81457e3b1bc1eb9828cf04,2026-02-10T06:20:12.463951+00:00,2026-02-10T06:20:12.463951+00:00,
24,tabete だし麺 京鴨だし 鴨白湯らーめん,229,国分グループ本社,インスタント麺,../crawl/images\4901592928306_国分グループ本社_tabete_だし麺_京鴨だし_鴨白湯ら.jpg,https://sm.rakuten.co.jp/item/4901592928306,92c0356d44810a968388a4c0fb227e54a609c83ca9b5a68086e9b7538eb64ef0,2026-02-10T06:20:12.560648+00:00,2026-02-10T06:20:12.560648+00:00,
25,tabete だし麺 広島県産牡蠣だし 塩らーめん,229,国分グループ本社,インスタント麺,../crawl/images\4901592929914_国分グループ本社_tabete_だし麺_広島県産牡蠣だし_.jpg,https://sm.rakuten.co.jp/item/4901592929914,0e9438dc311f3fbbe80c73784cac9964ed86778b8adb64671b798dceac2396bd,2026-02-10T06:20:12.659361+00:00,2026-02-10T06:20:12.659361+00:00,
26,カップスター カレーうどん,229,サンヨー食品,インスタント麺,../crawl/images\4901734051817_サンヨー食品_カップスター_カレーうどん.jpg,https://sm.rakuten.co.jp/item/4901734051817,0d7f17895b2e86b037a0b6c9328dabbea462b4826e25acaf9dd5b619ee67e1b1,2026-02-10T06:20:12.759286+00:00,2026-02-10T06:20:12.759286+00:00,
27,【サッポロ一番 】極辛味噌旨タンメン,499,Unknown,インスタント麺,../crawl/images\4901734058205_Unknown_【サッポロ一番_】極辛味噌旨タンメン.jpg,https://sm.rakuten.co.jp/item/4901734058205,6f67435f8edf977e047a7ea493f96dc6e1df62561501ae0f348d95de91c530e5,2026-02-10T06:20:12.856022+00:00,2026-02-10T06:20:12.856022+00:00,
28,サッポロ一番 みそラーメンバター風味,679,サンヨー食品,インスタント麺,../crawl/images\4901734059622_サンヨー食品_サッポロ一番_みそラーメンバター風味.jpg,https://sm.rakuten.co.jp/item/4901734059622,c555c7522dd0e1aaa7348ee26f52142600c170be77c04be124736df68e8b4fe7,2026-02-10T06:20:12.944913+00:00,2026-02-10T06:20:12.944913+00:00,
29,カップスター 鶏天そば,229,サンヨー食品,インスタント麺,../crawl/images\4901734059660_サンヨー食品_カップスター_鶏天そば.jpg,https://sm.rakuten.co.jp/item/4901734059660,acd56e3d4e9c354c40ef41c80f5216fb9addfd6a0e0aac7820e38768176c7d33,2026-02-10T06:20:13.054643+00:00,2026-02-10T06:20:13.054643+00:00,
30,カップスター ほたて塩味,229,サンヨー食品,インスタント麺,../crawl/images\4901734059684_サンヨー食品_カップスター_ほたて塩味.jpg,https://sm.rakuten.co.jp/item/4901734059684,d9a57cebabcde27b11325bd72f5f8d2f77ca60eb93306a38c85d185fe658538e,2026-02-10T06:20:13.151315+00:00,2026-02-10T06:20:13.151315+00:00,
